picker_id,first_name,last_name,full_name,gender,age,phone_number,email,community,store_id,store_node_id,store_name,store_location,service_zone,picker_segment,role,shift_type,shift_start,shift_end,experience_months,join_date,status,last_active,avg_picking_time_sec,items_per_hour,daily_orders_picked,accuracy_rate,mispick_rate,total_orders_picked,total_items_picked,total_mispicks,hourly_rate,total_earnings,total_hours_worked,zone_familiarity,multitask_ability,physical_fitness,temperature_zone_trained,fragile_handling_certified
PKR-25531B82,Balu,Chetty,Balu Chetty,M,25,+917150994600,balu.chetty@yahoo.com,TELUGU,HYD-DS-013,13,Madhapur Dark Store,Madhapur,West,FULL_TIME_SENIOR,QUALITY_CHECKER,FULL_TIME,07:00,15:00,41,2021-07-20,ACTIVE,2024-12-02 05:00,11.1,163,145,0.9967,0.0033,81545,652360,2152,58.39,303632,5200,0.61,LOW,AVERAGE,False,False
PKR-B393A382,Rashid,Mirza,Rashid Mirza,M,22,+917845920272,rashid739@gmail.com,MUSLIM,HYD-DS-010,10,Vijaya Nagar Colony Dark Store,Vijaya Nagar Colony,Northwest,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,20:00,00:00,4,2024-08-03,ACTIVE,2024-12-01 08:00,15.9,95,42,0.9841,0.0159,2717,13585,216,48.1,14431,300,0.92,HIGH,AVERAGE,False,True
PKR-7A22933D,Kiran,Naidu,Kiran Naidu,M,22,+919878866163,kiran02@yahoo.com,TELUGU,HYD-DS-019,19,Manikonda Dark Store,Manikonda,Southwest,FULL_TIME_SENIOR,TEAM_LEAD,FULL_TIME,06:00,14:00,26,2022-10-13,ACTIVE,2024-12-01 13:00,14.3,197,106,0.9929,0.0071,42005,378045,2684,65.04,212279,3264,0.94,LOW,GOOD,False,False
PKR-360AAEBD,Abdul,Baig,Abdul Baig,M,38,+917469068563,abdul69@gmail.com,MUSLIM,HYD-DS-006,6,Hafeezpet Dark Store,Hafeezpet,Northwest,PART_TIME_EVENING,PICKER,PART_TIME,20:00,00:00,23,2023-01-11,ACTIVE,2024-12-03 06:00,24.2,80,67,0.9868,0.0132,23982,167874,2215,50.93,86980,1708,0.91,LOW,EXCELLENT,True,True
PKR-765916FA,Nitin,Singh,Nitin Singh,M,40,+919199136281,nitin84@gmail.com,NORTH,HYD-DS-002,2,KPHB (Kukatpally Phase B) Dark Store,KPHB (Kukatpally Phase B),Northwest,FULL_TIME_SENIOR,SENIOR_PICKER,FULL_TIME,14:00,22:00,19,2023-05-11,ACTIVE,2024-12-02 06:00,14.3,248,130,0.9891,0.0109,44603,178412,1944,68.29,215809,3160,0.6,LOW,EXCELLENT,True,False
PKR-33CDD968,Ismail,Khan,Ismail Khan,M,30,+917410566950,ismail11@gmail.com,MUSLIM,HYD-DS-013,13,Madhapur Dark Store,Madhapur,West,NEW_JOINER,TRAINEE_PICKER,TRAINING,14:00,18:00,2,2024-10-02,PROBATION,2024-12-01 08:00,34.8,67,50,0.938,0.062,1917,23004,1426,42.02,6050,144,0.59,LOW,EXCELLENT,True,False
PKR-6D9D77F2,Shahid,Baig,Shahid Baig,M,20,+918813115235,shahid323@gmail.com,MUSLIM,HYD-DS-028,28,Himayatnagar Dark Store,Himayatnagar,Central,FULL_TIME_REGULAR,TRAINEE_PICKER,FULL_TIME,10:00,18:00,3,2024-09-02,ACTIVE,2024-12-01 06:00,18.9,171,81,0.991,0.009,4250,17000,153,48.29,22020,456,0.5,HIGH,AVERAGE,False,True
PKR-59C46300,Faisal,Shaikh,Faisal Shaikh,M,28,+918019694812,faisal378@rediffmail.com,MUSLIM,HYD-DS-044,44,Chititra Medchal Dark Store,Chititra Medchal,North,NEW_JOINER,TRAINEE_PICKER,TRAINING,09:00,13:00,0,2024-12-01,TRAINING,2024-12-03 11:00,36.2,85,30,0.9242,0.0758,0,0,0,42.21,0,0,0.63,HIGH,GOOD,True,True
PKR-F0AA9BA0,Krishna,Munnuru,Krishna Munnuru,M,26,+918290072531,krishna.munnuru@rediffmail.com,TELUGU,HYD-DS-022,22,Tolichowki Dark Store,Tolichowki,Southwest,FULL_TIME_REGULAR,PICKER,FULL_TIME,16:00,00:00,14,2023-10-08,ACTIVE,2024-12-02 23:00,21.0,100,111,0.9868,0.0132,23873,238730,3151,49.72,105398,2120,0.93,LOW,AVERAGE,True,True
PKR-C4000BC4,Rizwan,Ansari,Rizwan Ansari,M,22,+917853265100,rizwan747@gmail.com,MUSLIM,HYD-DS-041,41,Anjaiah Nagar Dark Store,Anjaiah Nagar,North,PART_TIME_STUDENT,TRAINEE_PICKER,PART_TIME,18:00,22:00,5,2024-07-04,ACTIVE,2024-12-01 19:00,16.0,80,53,0.9782,0.0218,3869,19345,421,41.39,13740,332,0.99,LOW,AVERAGE,False,False
