rider_id,first_name,last_name,full_name,gender,age,phone_number,email,community,vehicle_type,vehicle_model,vehicle_number,engine_cc,home_store_id,home_store_node_id,home_store_name,service_zone,store_location,home_lat,home_lng,rider_segment,shift_type,shift_start,shift_end,experience_months,join_date,status,last_active,on_time_delivery_rate,order_acceptance_rate,cancellation_rate,avg_delivery_time_mins,customer_rating,total_orders_delivered,daily_avg_orders,total_earnings,avg_earnings_per_order,peak_hour_preference,weekend_availability,has_insulated_bag,has_rain_gear,knows_english,knows_hindi,knows_telugu
RDR-0F9A355E,Kareem,Khan,Kareem Khan,M,27,+919025743495,kareem451@gmail.com,MUSLIM,SCOOTER,Honda Activa 6G,TS11AV8668,110,HYD-DS-038,38,Alwal Dark Store,North,Alwal,17.505714,78.508206,FULL_TIME_EXPERIENCED,FULL_TIME,16:00,00:00,56,2020-04-26,ACTIVE,2024-12-03 03:00,0.882,0.907,0.02,13.2,4.82,24271,28,856628,35.29,AFTERNOON,True,True,False,False,True,True
RDR-CB0D0974,Adnan,Syed,Adnan Syed,M,25,+919055451289,adnan.syed@gmail.com,MUSLIM,BIKE,Honda Shine,TS07ZC5942,125,HYD-DS-022,22,Tolichowki Dark Store,Southwest,Tolichowki,17.398901,78.402968,NEW_JOINER,FULL_TIME,12:00,20:00,3,2024-09-02,PROBATION,2024-12-02 00:00,0.755,0.771,0.153,17.9,4.21,361,9,6933,19.21,EVENING,True,True,False,True,True,False
RDR-F43CE3EB,Lokesh,Naidu,Lokesh Naidu,M,21,+917349552875,lokesh03@yahoo.com,TELUGU,CYCLE,Hercules Roadsters,N/A,0,HYD-DS-011,11,Gowlidoddy Dark Store,Northwest,Gowlidoddy,17.496793,78.412805,PART_TIME_STUDENT,PART_TIME,20:00,00:00,10,2024-02-05,ACTIVE,2024-12-02 19:00,0.862,0.72,0.149,14.7,4.48,1218,8,34731,28.51,MORNING,True,True,False,True,True,True
RDR-62E27C55,Junaid,Baig,Junaid Baig,M,34,+917615469979,junaid120@gmail.com,MUSLIM,BIKE,Honda Shine,TS12KQ6237,125,HYD-DS-017,17,Kothaguda Dark Store,West,Kothaguda,17.46618,78.384338,FULL_TIME_REGULAR,FULL_TIME,10:00,18:00,13,2023-11-07,ACTIVE,2024-12-03 12:00,0.862,0.894,0.045,12.8,4.55,4055,21,135279,33.36,NIGHT,False,True,True,True,True,False
RDR-FFD29700,Faisal,Qureshi,Faisal Qureshi,M,36,+917817548149,faisal733@yahoo.com,MUSLIM,BIKE,Hero Splendor Plus,TS12QL4661,100,HYD-DS-022,22,Tolichowki Dark Store,Southwest,Tolichowki,17.390639,78.40811,FULL_TIME_EXPERIENCED,FULL_TIME,14:00,22:00,18,2023-06-10,ACTIVE,2024-12-03 16:00,0.897,0.866,0.029,9.0,4.74,10772,41,404562,37.56,NIGHT,True,False,False,False,True,True
RDR-980B0E66,Pavan,Kapu,Pavan Kapu,M,38,+919719043932,pavan224@rediffmail.com,TELUGU,BIKE,Honda Shine,TS07BM2421,125,HYD-DS-038,38,Alwal Dark Store,North,Alwal,17.512206,78.505056,FULL_TIME_EXPERIENCED,FULL_TIME,06:00,14:00,53,2020-07-25,STAR_PERFORMER,2024-12-02 19:00,0.927,0.851,0.037,9.1,4.61,28404,32,812488,28.6,MORNING,True,True,False,False,True,True
RDR-18F8CBE3,Ahmed,Mirza,Ahmed Mirza,M,21,+918527234029,ahmed633@gmail.com,MUSLIM,BIKE,Bajaj CT100,TS11QX6164,100,HYD-DS-035,35,Jamal Colony Dark Store,Central,Jamal Colony,17.399549,78.454666,PART_TIME_STUDENT,PART_TIME,19:00,23:00,4,2024-08-03,ACTIVE,2024-12-03 21:00,0.888,0.776,0.113,18.3,4.26,1217,15,26714,21.95,NIGHT,True,True,False,False,True,False
RDR-556ABC5D,Nitin,Gupta,Nitin Gupta,M,23,+917833239689,nitin.gupta@gmail.com,NORTH,SCOOTER,Honda Activa 6G,TS10DU3265,110,HYD-DS-042,42,Sathya Colony Dark Store,North,Sathya Colony,17.497394,78.459778,FULL_TIME_REGULAR,FULL_TIME,16:00,00:00,11,2024-01-06,ACTIVE,2024-12-03 20:00,0.847,0.847,0.047,13.9,4.5,4986,26,168254,33.75,NIGHT,True,True,True,True,True,True
RDR-912741B3,Ramulu,Kumar,Ramulu Kumar,M,40,+917151572916,ramulu84@gmail.com,TELUGU,BIKE,TVS Sport,TS08XP8671,110,HYD-DS-025,25,Ameerpet Dark Store,Central,Ameerpet,17.438684,78.454562,FULL_TIME_EXPERIENCED,FULL_TIME,12:00,20:00,26,2022-10-13,ACTIVE,2024-12-03 12:00,0.884,0.932,0.043,13.0,4.69,18251,41,543929,29.8,NIGHT,True,False,True,False,True,True
RDR-C02414F5,Ramesh,Yadav,Ramesh Yadav,M,30,+918087029753,ramesh94@gmail.com,TELUGU,BIKE,Honda Shine,TS09GK8991,125,HYD-DS-006,6,Hafeezpet Dark Store,Northwest,Hafeezpet,17.460455,78.387375,PART_TIME_EVENING,PART_TIME,06:00,10:00,11,2024-01-06,ACTIVE,2024-12-02 05:00,0.902,0.753,0.06,13.1,4.52,3174,16,88640,27.93,NIGHT,True,True,True,True,True,True
